dept_code_clean,missing_specialties,present_specialties,total_specialties
01,0,15,15
02,0,15,15
02A,0,15,15
02B,0,15,15
03,0,15,15
04,0,15,15
05,0,15,15
06,0,15,15
07,0,15,15
08,0,15,15
09,0,15,15
10,0,15,15
11,0,15,15
12,0,15,15
13,0,15,15
14,0,15,15
15,0,15,15
16,0,15,15
17,0,15,15
18,0,15,15
19,0,15,15
21,0,15,15
22,0,15,15
23,0,15,15
24,0,15,15
25,0,15,15
26,0,15,15
27,0,15,15
28,0,15,15
29,0,15,15
30,0,15,15
31,0,15,15
32,0,15,15
33,0,15,15
34,0,15,15
35,0,15,15
36,0,15,15
37,0,15,15
38,0,15,15
39,0,15,15
40,0,15,15
41,0,15,15
42,0,15,15
43,0,15,15
44,0,15,15
45,0,15,15
46,0,15,15
47,0,15,15
48,0,15,15
49,0,15,15
50,0,15,15
51,0,15,15
52,0,15,15
53,0,15,15
54,0,15,15
55,0,15,15
56,0,15,15
57,0,15,15
58,0,15,15
59,0,15,15
60,0,15,15
61,0,15,15
62,0,15,15
63,0,15,15
64,0,15,15
65,0,15,15
66,0,15,15
67,0,15,15
68,0,15,15
69,0,15,15
70,0,15,15
71,0,15,15
72,0,15,15
73,0,15,15
74,0,15,15
75,0,15,15
76,0,15,15
77,0,15,15
78,0,15,15
79,0,15,15
80,0,15,15
81,0,15,15
82,0,15,15
83,0,15,15
84,0,15,15
85,0,15,15
86,0,15,15
87,0,15,15
88,0,15,15
89,0,15,15
90,0,15,15
91,0,15,15
92,0,15,15
93,0,15,15
94,0,15,15
95,0,15,15
971,0,15,15
972,0,15,15
973,0,15,15
974,0,15,15
976,0,15,15
Total général,0,15,15
